PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu)
96300.0,96300.0,0,1.0,2,Small- and Mid-Sized Office,Office,92300.0,4,NORTHEAST,47.67828,-122.26456,2002,16319835.0
67356.0,67356.0,0,1.0,1,Other,"Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,2,GREATER DUWAMISH,47.59545,-122.32146,1950,7475577.5
54765.0,54765.0,0,1.0,1,Small- and Mid-Sized Office,Office,25765.0,2,GREATER DUWAMISH,47.53827,-122.28406,1958,4253369.5
89821.0,89821.0,0,1.0,5,Other,Other - Lodging/Residential,46483.0,2,GREATER DUWAMISH,47.53722,-122.284,2009,1950092.5
52611.0,52611.0,0,1.0,2,University,College/University,52611.0,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1980,4116871.5
139600.0,102100.0,37500,1.0,4,Residence Hall,Residence Hall/Dormitory,135520.0,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,2001,4448582.5
224864.625,196071.25,0,3.0,6,Other,Other,137565.0,3,CENTRAL,47.60462,-122.31549,1971,13071700.0
224864.625,196071.25,68432,1.0,11,Other,Other,192159.375,7,DOWNTOWN,47.61598,-122.33448,2004,16336999.203125
64015.0,64015.0,0,1.0,3,Small- and Mid-Sized Office,Office,30000.0,2,GREATER DUWAMISH,47.536,-122.31768,2007,3242077.75
224864.625,196071.25,0,1.0,1,Retail Store,Retail Store,192159.375,5,NORTH,47.70759,-122.3255,1951,16336999.203125
54224.0,54224.0,0,1.0,3,Other,Other/Specialty Hospital,47012.0,5,NORTH,47.7066,-122.321,1964,7265178.0
124342.0,124342.0,0,1.0,4,Retail Store,Retail Store,122000.0,5,NORTH,47.70619,-122.32586,1965,8765978.0
224864.625,196071.25,0,6.0,10,Hospital,Hospital (General Medical & Surgical),192159.375,4,NORTHEAST,47.66231,-122.28146,1953,16336999.203125
55442.0,55442.0,0,1.0,3,Other,Financial Office,28636.0,5,NORTHWEST,47.70956,-122.3345,1996,3191228.25
84870.0,84870.0,0,1.0,5,Self-Storage Facility,Self-Storage Facility,85521.0,3,EAST,47.61233,-122.3171,1910,1381590.125
224864.625,196071.25,111625,11.0,2,University,College/University,192159.375,5,NORTHWEST,47.69936,-122.33401,1970,16336999.203125
114297.0,114297.0,0,1.0,4,Warehouse,Non-Refrigerated Warehouse,114297.0,2,GREATER DUWAMISH,47.55152,-122.31869,1904,2100097.75
224864.625,196071.25,0,1.0,1,Warehouse,Non-Refrigerated Warehouse,192159.375,2,GREATER DUWAMISH,47.55901,-122.33328,1937,6744317.0
64984.0,64984.0,0,1.0,1,Retail Store,Retail Store,65425.0,1,DELRIDGE,47.52254,-122.36627,1966,2944296.25
67745.0,67745.0,0,1.0,1,Retail Store,Retail Store,67782.0,1,DELRIDGE,47.52254,-122.36627,1965,9230223.0
56000.0,56000.0,0,1.0,3,Other,Other,56000.0,6,BALLARD,47.67767,-122.39631,1973,1851260.5
