PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu),HasParking,BuildingAge,ParkingRatio,AreaPerFloor,BuildingDensity,GeoCluster
52800.0,52800.0,0,1.0,4,Small- and Mid-Sized Office,Office,38880.0,7,DOWNTOWN,47.61304,-122.34059,1925,2429021.0,0,91,0.0,13200.0,1.893939393939394e-05,2.0
224864.625,196071.25,0,3.0,10,Mixed Use Property,Parking,155000.0,7,DOWNTOWN,47.61229,-122.33903,1913,16336999.203125,0,103,0.0,19607.125,1.3341360385165074e-05,2.0
224864.625,196071.25,0,1.0,8,Retail Store,Retail Store,192159.375,7,DOWNTOWN,47.61098,-122.33815,1929,16336999.203125,0,87,0.0,24508.90625,4.447120128388358e-06,2.0
206950.0,109550.0,97400,1.0,5,Other,Other,192159.375,7,EAST,47.61,-122.32922,1999,16336999.203125,1,17,0.470645083353467,21910.0,4.8320850446967865e-06,2.0
224864.625,196071.25,0,1.0,6,Other,Convention Center,192159.375,7,DOWNTOWN,47.61195,-122.33167,1990,0.0,0,26,0.0,32678.541666666668,4.447120128388358e-06,2.0
46710.0,46710.0,0,1.0,9,Other,Urgent Care/Clinic/Other Outpatient,46710.0,3,EAST,47.61048,-122.32837,1988,4169431.5,0,28,0.0,5190.0,2.1408691928923143e-05,2.0
224864.625,162000.0,104000,1.0,3,Medical Office,Medical Office,162000.0,3,EAST,47.61048,-122.32837,1945,13911761.0,1,71,0.46250049335238924,54000.0,4.447120128388358e-06,2.0
224864.625,196071.25,407795,1.0,14,Medical Office,Medical Office,192159.375,3,EAST,47.60921,-122.32425,1992,16336999.203125,1,24,1.8135133527561305,14005.089285714286,4.447120128388358e-06,2.0
224864.625,196071.25,177660,1.0,6,Mixed Use Property,Parking,164332.0,7,LAKE UNION,47.61915,-122.34857,2001,16336999.203125,1,15,0.7900753620094757,32678.541666666668,4.447120128388358e-06,0.0
213834.0,108912.0,104922,1.0,6,Mixed Use Property,Parking,104922.0,7,LAKE UNION,47.61915,-122.34857,2001,16336999.203125,1,15,0.4906703330620949,18152.0,4.676524780904814e-06,0.0
109017.0,79608.0,29409,1.0,5,Hotel,Hotel,109017.0,7,LAKE UNION,47.62036,-122.34588,1979,9474745.0,1,37,0.2697652659676931,15921.6,9.172881293743177e-06,0.0
224864.625,196071.25,38452,1.0,5,Large Office,Office,192159.375,7,MAGNOLIA / QUEEN ANNE,47.62177,-122.36158,1981,16336999.203125,1,35,0.17100066317678914,39214.25,4.447120128388358e-06,0.0
123061.0,123061.0,0,1.0,1,Warehouse,Non-Refrigerated Warehouse,123061.0,2,GREATER DUWAMISH,47.56064,-122.32522,2001,1987934.625,0,15,0.0,123061.0,8.126051307887958e-06,1.0
59090.0,59090.0,0,1.0,1,Distribution Center,Distribution Center,40272.0,2,GREATER DUWAMISH,47.54868,-122.3255,1963,2756214.75,0,53,0.0,59090.0,1.6923337282112033e-05,1.0
106000.0,106000.0,0,1.0,1,Warehouse,Non-Refrigerated Warehouse,106001.0,2,GREATER DUWAMISH,47.5471,-122.32406,1963,763364.5,0,53,0.0,106000.0,9.433962264150944e-06,1.0
158600.0,120200.0,38400,1.0,3,Large Office,Office,125779.0,4,LAKE UNION,47.63349,-122.32634,1962,16336999.203125,1,54,0.2421185372005044,40066.666666666664,6.305170239596469e-06,2.0
119661.0,119661.0,0,1.0,1,Distribution Center,Distribution Center,118733.0,2,GREATER DUWAMISH,47.53764,-122.3232,1960,775729.1875,0,56,0.0,119661.0,8.356941693617803e-06,1.0
139200.0,94472.0,44728,1.0,7,Large Office,Office,82098.0,3,LAKE UNION,47.62958,-122.32826,2001,4342597.0,1,15,0.32132183908045975,13496.0,7.183908045977011e-06,2.0
95721.0,61800.0,33921,1.0,6,Small- and Mid-Sized Office,Office,95721.0,7,MAGNOLIA / QUEEN ANNE,47.62566,-122.34287,1984,3063504.5,1,32,0.3543736484157082,10300.0,1.0447028342787895e-05,0.0
213283.0,98055.0,115228,2.0,5,Large Office,Office,105563.0,7,MAGNOLIA / QUEEN ANNE,47.62929,-122.34194,1996,5661689.5,1,20,0.5402587172911109,19611.0,9.377212436059133e-06,0.0
103697.0,56041.0,47656,1.0,3,Large Office,Office,63199.0,4,LAKE UNION,47.64776,-122.33924,2001,11319836.0,1,15,0.4595697078989749,18680.333333333332,9.64348052499108e-06,0.0
74880.0,74880.0,0,1.0,5,Small- and Mid-Sized Office,Office,71751.0,5,NORTH,47.70105,-122.32659,1974,5134607.5,0,42,0.0,14976.0,1.3354700854700855e-05,4.0
88774.0,88774.0,0,1.0,6,Small- and Mid-Sized Office,Office,85339.0,5,NORTH,47.69999,-122.32663,1979,6029121.5,0,37,0.0,14795.666666666666,1.1264559443080182e-05,4.0
122250.0,122250.0,0,1.0,5,Large Office,Office,91281.0,5,NORTH,47.69917,-122.3268,1983,5535626.0,0,33,0.0,24450.0,8.179959100204498e-06,4.0
53730.0,53730.0,0,1.0,4,Small- and Mid-Sized Office,Office,53730.0,5,NORTH,47.70063,-122.32487,1979,4742869.0,0,37,0.0,13432.5,1.8611576400521126e-05,4.0
55593.0,55593.0,0,1.0,3,Small- and Mid-Sized Office,Office,55593.0,1,DELRIDGE,47.5671,-122.36416,1960,4224872.5,0,56,0.0,18531.0,1.7987876171460436e-05,5.0
